59313,58749,1526
129088,128178,1769
129088,130256,527
129088,133065,1204
164075,163426,1207
164075,167285,1441
202108,124847,1120
202108,203967,512
250095,76684,1292
250095,175856,1002
282781,44012,1472
282781,111809,635
282781,113287,1827
374724,136058,1108
412532,173890,1210
412532,175700,746
412532,178429,545
511714,273054,1194
511714,276434,1905
558489,225658,1444
558489,321503,612
584388,199508,1832
584388,254414,1310
597622,212754,1391
597622,214641,875
597622,216080,535
684245,299323,1736
751669,231225,1336
751669,368765,585
751669,370709,1058
813516,292837,1565
813516,296370,628
862055,341484,1756
862055,343917,860
883801,363332,1415
883801,366729,1836
910569,335827,1713
910569,392328,686
910569,394127,1917
1004454,241828,1408
1101879,144295,1930
1101879,341302,845
1101879,343423,1254
1152257,194930,1629
1152257,198656,840
1235157,278021,1028
1235157,279968,614
1269816,312536,1453
1269816,317166,513
1333357,248365,1363
1333357,378173,907
1333357,380293,1099
1346166,261193,1218
1376773,291809,1426
1376773,293577,681
1376773,296074,1968
1428829,239141,1538
1428829,347305,939
1475213,192608,1683
1475213,287482,831
1518411,235761,1514
1518411,240085,747
1566073,283259,1595
1566073,285776,560
1566073,287268,1967
1657128,374435,1496
1682059,348894,1183
1682059,401514,739
1682059,403741,1111
1758371,272273,1772
1758371,429653,1656
1817724,331928,1562
1817724,333576,749
1888916,402760,1489
1888916,406418,803
1973885,316895,1534
1973885,489785,649
1973885,492099,900
1995642,338960,1456
2047349,390265,1497
2047349,392351,917
2047349,394051,1558
2067697,410787,1715
2067697,414695,1768
2097472,380058,1592
2097472,442664,534
2121972,404602,1842
2121972,407994,1938
2204387,321587,1169
2204387,489774,908
2204387,491029,1765
2301593,418718,1510
2373420,490613,1300
2373420,492238,590
2373420,494972,1407
2433694,550522,1827
2433694,555150,1012
2511448,472151,1257
2511448,630636,792
2539092,444387,1534
2539092,502914,1334
2560301,465778,1192
2560301,467530,690
2560301,470264,694
2636421,388690,1812
2648234,400736,1345
2648234,403424,725
2648234,404183,662
2691637,444252,1419
2691637,447795,1130
2791082,344129,1370
2791082,546148,797
2841727,394772,1358
2841727,397864,1708
2893660,342120,1501
2893660,448969,810
2893660,450208,934
2958302,277569,1606
3050835,370040,1294
3050835,372039,802
3050835,374050,1977
3097256,322796,1696
3097256,419488,1753
3189859,230138,1773
3189859,417404,898
3276378,316692,1829
3276378,320453,1517
3329428,369936,1306
3329428,372188,585
3329428,374044,1865
3345579,353135,1220
3434311,441769,1652
3434311,444414,788
3434311,446209,1432
3486676,493914,1517
3486676,497165,1071
