17,1,12
28,1,14
28,24,3
51,1,14
71,1,17
71,37,4
93,1,10
120,22,10
120,54,7
138,1,17
163,20,18
163,57,6
184,1,12
198,9,8
198,24,5
208,22,6
218,9,6
218,59,6
231,17,15
252,1,12
252,70,4
271,11,12
296,38,9
296,72,3
320,8,15
341,1,12
341,52,7
365,17,10
376,26,16
376,61,4
387,6,16
413,36,11
413,64,7
426,18,11
453,47,7
453,76,3
474,62,12
498,86,12
498,117,8
513,66,11
535,88,12
535,118,3
550,104,8
573,74,12
573,156,3
597,96,14
608,112,13
608,140,8
634,84,9
650,98,11
650,131,9
667,112,15
687,135,14
687,168,6
706,109,10
717,119,15
717,152,3
744,149,8
766,118,18
766,203,3
795,148,18
809,164,10
809,189,9
821,174,11
845,142,12
845,218,8
855,157,10
871,132,17
871,196,8
898,106,17
925,137,10
925,165,7
949,161,8
972,182,14
972,200,9
987,160,15
1001,175,16
1001,205,7
1016,192,7
1044,216,15
1044,242,6
1056,199,15
1080,174,13
1080,256,3
1096,155,12
1111,170,18
1111,204,4
1121,152,11
1141,171,19
1141,193,7
1168,205,10
1191,175,16
1191,258,5
1213,151,17
1234,136,8
1234,208,7
1258,161,5
1282,183,13
1282,212,7
1294,65,110
